alpha70,,alpha65,,alpha60,,alpha55,,alpha50,,alpha40,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.6277527150986892,0.14779720600818957,0.6265866064087613,0.11940309472742833,0.6265866064087613,0.10241771181734777,0.6265866064087613,0.08760339288825494,0.6195899542691937,0.07670550310133609,0.6230882803389776,0.06563733378649662
0.6382476933080408,0.148762123333073,0.6370815846181128,0.12014097268175096,0.6370815846181128,0.10275827087318898,0.6370815846181128,0.08743311336033434,0.6300849324785451,0.07662036333737579,0.633583258548329,0.06512649520273481
0.6487426715173922,0.14988313022521702,0.6475765628274642,0.12073695102947309,0.6475765628274642,0.1029853102437498,0.6475765628274642,0.08743311336033434,0.6405799106878967,0.07645008380945517,0.6440782367576805,0.06495621567481419
0.6592376497267436,0.15079128770746025,0.6580715410368156,0.12148901894445575,0.6580715410368156,0.1034110090635513,0.6580715410368156,0.08743311336033434,0.6510748888972481,0.07645008380945517,0.6545732149670318,0.06457308673699283
0.6697326279360951,0.15213933397016505,0.6685665192461672,0.1222268968987784,0.6685665192461672,0.10402117737193349,0.6685665192461672,0.08746149328165444,0.6615698671065995,0.07645008380945517,0.6650681931763833,0.06418995779917146
0.6802276061454464,0.15310425129504848,0.6790614974555185,0.12299315477442113,0.6790614974555185,0.10458877579833552,0.6790614974555185,0.08776836548532385,0.672064845315951,0.07645008380945517,0.6755631713857346,0.06418995779917146
0.6907225843547979,0.15426782806917264,0.68955647566487,0.12378779257138396,0.68955647566487,0.10505704450011717,0.68955647566487,0.08794395194409615,0.6825598235253023,0.07645008380945517,0.6860581495950862,0.06396291842861064
0.7012175625641495,0.15544559480395684,0.7000514538742215,0.12445472072240635,0.7000514538742215,0.1055395031625589,0.7000514538742215,0.08811423147201677,0.6930548017346538,0.07645008380945517,0.6965531278044377,0.06393453850729056
0.7117125407735008,0.15656660169610084,0.7105464320835728,0.12532030832266944,0.7105464320835728,0.10631995099886168,0.7105464320835728,0.08819937123597707,0.7035497799440051,0.07670550310133609,0.707048106013789,0.06393453850729056
0.7222075189828523,0.15782950819484534,0.7210414102929243,0.12639874533283327,0.7210414102929243,0.10695849922856396,0.7210414102929243,0.08839803068521777,0.7149682410029607,0.07670550310133609,0.7175430842231405,0.06393453850729056
0.7327024971922036,0.1590498448116097,0.7315363885022756,0.127165003208476,0.7315363885022756,0.10738419804836546,0.7315363885022756,0.08885210942633939,0.7263867020619166,0.07708863203915745,0.728038062432492,0.06393453850729056
0.7431974754015551,0.1602276115463939,0.7420313667116272,0.12791707112345868,0.7420313667116272,0.10810788604202806,0.7420313667116272,0.0889656291116198,0.7373434216960699,0.0772163416850979,0.7385330406418433,0.06393453850729056
0.7536924536109066,0.16139118832051805,0.7525263449209787,0.12893874829098234,0.7525263449209787,0.10888833387833084,0.7525263449209787,0.08951903757736178,0.7496853656046298,0.0776260424686069,0.7490280188511949,0.06393453850729056
0.764187431820258,0.1626399048586025,0.76302132313033,0.12998880537982607,0.76302132313033,0.10955526202935321,0.76302132313033,0.08973188698726253,0.7615655680883875,0.07784069995414014,0.7595229970605462,0.06413319795653126
0.7746824100296095,0.1638744314360269,0.7735163013396815,0.13099629258668966,0.7735163013396815,0.11022219018037559,0.7735163013396815,0.09004406612178364,0.7733206960110486,0.07831954246531687,0.7700179752698977,0.06431766744511191
0.7851773882389608,0.16517990781675154,0.7840112795490328,0.13204634967553341,0.7840112795490328,0.11076140868545752,0.7840112795490328,0.09071099427280602,0.7856626399196085,0.0787452412851184,0.7805129534792492,0.06470079638293329
0.7956723664483123,0.16632929463021565,0.7945062577583843,0.13295450715777665,0.7945062577583843,0.11152766656110025,0.7945062577583843,0.09109412321062739,0.7970811009785641,0.0792596960201452,0.7910079316886005,0.06488526587151394
0.8061673446576638,0.16767734089292047,0.8050012359677359,0.13403294416794048,0.8050012359677359,0.11232230435806308,0.8050012359677359,0.09164753167636937,0.8084995620375197,0.07957368323029879,0.801502909897952,0.0650413554387745
0.8166623228670151,0.1688692975883647,0.8154962141770872,0.13495529161084377,0.8154962141770872,0.11303180239106561,0.8154962141770872,0.09210161041749099,0.818994540246871,0.08012528362040829,0.8119978881073033,0.06555219402253631
0.8271573010763666,0.17018896392974942,0.8259911923864387,0.13604791858166768,0.8259911923864387,0.11361359077812769,0.8259911923864387,0.09259825904059275,0.8294895184562225,0.08050841255822966,0.8224928663166549,0.06603465268497805
