alpha70,,alpha65,,alpha60,,alpha55,
X,Y,X,Y,X,Y,X,Y
0.333893325236849,0.14014881721242228,0.33272721654692106,0.1257318171818109,0.33272721654692106,0.11423794904716991,0.33272721654692106,0.11188241557760151
0.34438830344620047,0.13928322961215922,0.3432221947562725,0.12444053076174628,0.3432221947562725,0.11279057305984475,0.3432221947562725,0.11006610061311503
0.3548832816555519,0.1388575307923577,0.353717172965624,0.1232911439482822,0.353717172965624,0.1115702364430804,0.353717172965624,0.10834911537324891
0.36537825986490335,0.13823317252331546,0.3642121511749754,0.1222552768200985,0.3642121511749754,0.11029313998367585,0.3642121511749754,0.10681659962196345
0.37587323807425477,0.13786423354615415,0.3747071293843268,0.121276169534555,0.3747071293843268,0.10917213309153184,0.3747071293843268,0.10549693328057874
0.3863682162836062,0.13749529456899284,0.3852021075936783,0.1202119224850512,0.3852021075936783,0.1079801763960876,0.3852021075936783,0.10385089784401287
0.39686319449295765,0.13729663511975213,0.3956970858030297,0.11953080437336878,0.3956970858030297,0.10704363899252425,0.3956970858030297,0.10261637126658847
0.4073581727023091,0.13723987527711193,0.40619206401238117,0.11867940673376574,0.40619206401238117,0.10609291162830087,0.40619206401238117,0.10128251496454371
0.41785315091166053,0.13722568531645188,0.4166870422217326,0.11811180830736372,0.4166870422217326,0.10529827383133804,0.4166870422217326,0.0998493289378786
0.42834812912101194,0.13723987527711193,0.42718202043108405,0.11768610948756221,0.42718202043108405,0.10465972560163576,0.42718202043108405,0.09882765177035496
0.4388431073303634,0.13723987527711193,0.43767699864043547,0.11720365082512048,0.43767699864043547,0.10385089784401287,0.43767699864043547,0.09789111436679163
0.4493380855397148,0.13723987527711193,0.4481719768497869,0.11655091263475816,0.4481719768497869,0.10319815965365055,0.4481719768497869,0.09688362715992803
0.4598330637490663,0.13738177488371242,0.45866695505913835,0.11629549334287725,0.45866695505913835,0.10264475118790857,0.45866695505913835,0.09581938011042423
0.4703280419584177,0.1375094845296529,0.46916193326848976,0.11599750416901618,0.46916193326848976,0.10219067244678695,0.46916193326848976,0.09486865274620083
0.4808230201677692,0.13804870303473482,0.47965691147784123,0.11578465475911542,0.47965691147784123,0.1019778230368862,0.47965691147784123,0.09386116553933727
0.4913179983771206,0.13851697173651648,0.49015188968719264,0.11578465475911542,0.49015188968719264,0.10163726398104497,0.49015188968719264,0.09320842734897493
0.5018129765864721,0.1387723910283974,0.5006468678965441,0.11578465475911542,0.5006468678965441,0.10122575512190352,0.5006468678965441,0.0924137895520121
0.5123079547958235,0.13915551996621875,0.5111418461058955,0.11578465475911542,0.5111418461058955,0.1010554755939829,0.5111418461058955,0.09174686140098973
0.5228029330051749,0.14002110756648184,0.5216368243152469,0.11578465475911542,0.5216368243152469,0.1009703358300226,0.5216368243152469,0.09099479348600704
0.5332979112145264,0.14057451603222382,0.5321318025245985,0.11578465475911542,0.5321318025245985,0.1009703358300226,0.5321318025245985,0.09061166454818567
0.5437928894238777,0.1410711646553256,0.5426267807339499,0.11608264393297649,0.5426267807339499,0.1009703358300226,0.5426267807339499,0.08998730627914345
0.5542878676332292,0.14185161249162836,0.5531217589433013,0.11629549334287725,0.5531217589433013,0.1009703358300226,0.5531217589433013,0.08938602100056961
0.5647828458425806,0.1426462502885912,0.5636167371526527,0.11674957208399886,0.5636167371526527,0.1009703358300226,0.5636167371526527,0.08892305922963964
0.5752778240519321,0.14325641859697338,0.5741117153620041,0.11706175121851999,0.5741117153620041,0.10108385551530301,0.5741117153620041,0.08871020981973889
